date,dollar_strat_ret
2002-01-31,-0.00974795812453838
2002-02-28,0.012732369405482447
2002-03-28,0.01522699947971684
2002-04-30,0.030861307822818373
2002-05-31,0.03080886975178907
2002-06-28,0.03194911832669063
2002-07-31,-0.014575055354420541
2002-08-30,0.002885200718831182
2002-09-30,-0.00210046741934955
2002-10-31,0.018389967260430053
2002-11-29,0.010333799771684271
2002-12-31,0.03504975967798844
2003-01-31,0.008860747782837696
2003-02-28,0.000929559725308815
2003-03-31,-0.0005885989642442357
2003-04-30,0.04661925196335317
2003-05-30,0.010514100183897623
2003-06-30,-0.016941343070194903
2003-07-31,-0.011701705202690493
2003-08-29,0.017031493687441612
2003-09-30,0.044024602854087956
2003-10-31,0.007489459580117819
2003-11-28,0.038498666444109195
2003-12-31,0.030990240123837286
2004-01-30,0.005563848616263356
2004-02-27,-0.024788811324319426
2004-03-31,-0.008499263154336023
2004-04-30,-0.01732559629831938
2004-05-28,0.015968254262093563
2004-06-30,0.012130051132986198
2004-07-30,-0.008159688010880805
2004-08-31,-0.0035946874915771866
2004-09-30,0.023273980997099743
2004-10-29,0.04290452244226861
2004-11-30,0.019393043268026
2004-12-31,-0.01353434481481235
2005-01-31,-0.0018902709663120687
2005-02-28,0.00773153661467354
2005-03-31,-0.014177971841882141
2005-04-29,-0.012469201793698393
2005-05-31,-0.02437951675277399
2005-06-30,-0.02334368699300695
2005-07-29,0.018591049188902486
2005-08-31,-0.0010743829248780258
2005-09-30,-0.021145301015758643
2005-10-31,-0.02261123074761302
2005-11-30,0.00421001341114593
2005-12-30,0.017885995677489986
2006-01-31,-0.017376448832474356
2006-02-28,-0.0034217814378308953
2006-03-31,0.01199209282624234
2006-04-28,0.04549644935833781
2006-05-31,-0.019273817412438034
2006-06-30,-0.00029150946649372236
2006-07-31,0.00931494219910658
2006-08-31,-0.010442142133210864
2006-09-29,-0.008364621764330482
2006-10-31,0.01780896490786201
2006-11-30,0.01662878407913846
2006-12-29,-0.016015354309460682
2007-01-31,0.0008612017985597964
2007-02-28,0.01186178634876991
2007-03-30,0.013851722038638381
2007-04-30,-0.006038293278439255
2007-05-31,-0.0028411617620959896
2007-06-29,0.021488446844512364
2007-07-31,-0.005006960786492387
2007-08-31,0.015014041387403587
2007-09-28,0.021239278600163215
2007-10-31,0.02595360548447929
2007-11-30,-0.01691528134666955
2007-12-31,0.0171957946305648
2008-01-31,0.012551720714797465
2008-02-29,0.04541425364918106
2008-03-31,0.0015233670203231853
2008-04-30,-0.006900165149659321
2008-05-30,-0.0007182455690059708
2008-06-30,0.01117407694299799
2008-07-31,-0.050054358128937014
2008-08-29,-0.029852611106027927
2008-09-30,-0.049237735392552495
2008-10-31,-0.03320823389179226
2008-11-28,0.033620484824476174
2008-12-31,-0.0012886472337034771
2009-01-30,-0.025746660280018617
2009-02-27,-0.0020005600384135347
2009-03-31,0.024988309994932224
2009-04-30,0.043237387783849224
2009-05-29,0.0336410360875933
2009-06-30,0.008068381584980022
2009-07-31,0.013474067425370917
2009-08-31,0.022671342897308367
2009-09-30,0.01872189800958548
2009-10-30,0.013853761450195812
2009-11-30,-0.016651417594453922
2009-12-31,-0.0051814666171987375
2010-01-29,-0.024750249549270697
2010-02-26,-0.00204056559520025
2010-03-31,-0.0009521201659870027
2010-04-30,-0.03984670538637038
2010-05-28,-0.0037962139858496837
2010-06-30,0.04503368449353817
2010-07-30,0.019853309595885094
2010-08-31,0.02215157678629125
2010-09-30,0.038721664984780226
2010-10-29,-0.005020350504861404
2010-11-30,-0.007750526988686546
2010-12-31,0.010811366612511142
2011-01-31,0.013726692369855131
2011-02-28,0.016536657062842287
2011-03-31,0.02069265880875091
2011-04-29,0.010952992786448745
2011-05-31,0.009533371324492213
2011-06-30,0.009394409680237192
2011-07-29,0.015830915667922052
2011-08-31,-0.04109887203557527
2011-09-30,-0.003901032767479462
2011-10-31,-0.006942567604402506
2011-11-30,-0.013370555623470204
2011-12-30,0.0037757769695744513
2012-01-31,0.017776742190673777
2012-02-29,-0.012936044512458889
2012-03-30,0.002176842082882313
2012-04-30,-0.01386813493803143
2012-05-31,-0.010869177858449763
2012-06-29,0.00018550637880516697
2012-07-31,0.010662381562115986
2012-08-31,0.019983258727385288
2012-09-28,-0.0014159226552100447
2012-10-31,-0.007169892963994684
2012-11-30,0.005564367560402883
2012-12-31,-0.010369451306971755
2013-01-31,-0.016540652527317134
2013-02-28,-0.01881177063545536
2013-03-28,0.0015008690256336887
2013-04-30,-0.019357128495532595
2013-05-31,0.009205247664814276
2013-06-28,-0.018543486286739276
2013-07-31,0.013634312459857578
2013-08-30,0.009962245774018007
2013-09-30,0.01963474394091742
2013-10-31,-0.012672854363718077
2013-11-29,-0.0022520073334603152
2013-12-31,-0.005285235776062458
2014-01-31,0.010408561571278474
2014-02-28,0.008907109440189954
2014-03-31,0.006056652817910879
2014-04-30,0.0005976115465900822
2014-05-30,-0.0016601616953586973
2014-06-30,0.0022616863455556134
2014-07-31,-0.013593678899242567
2014-08-29,-0.030611942776575928
2014-09-30,-0.015578040212501754
2014-10-31,-0.026115279161621752
2014-11-28,-0.019643089992368655
2014-12-31,-0.013715099544196785
2015-01-30,-0.007306277146398333
2015-02-27,-0.02729144154939487
2015-03-31,0.006663380584654988
2015-04-30,0.021050402395369528
2015-05-29,-0.006346380639883487
2015-06-30,-0.015964569626488668
2015-07-31,-0.0022896395728613907
2015-08-31,-0.003607076014989841
2015-09-30,0.0053778866381167575
2015-10-30,-0.02442435190809735
2015-11-30,0.00792219841587507
