fic_AUSTRALIA,date,currency_AUSTRALIA,mportret_AUSTRALIA,mportretx_AUSTRALIA,fic_SWITZERLAND,currency_SWITZERLAND,mportret_SWITZERLAND,mportretx_SWITZERLAND,fic_GERMANY,currency_GERMANY,mportret_GERMANY,mportretx_GERMANY,fic_FRANCE,currency_FRANCE,mportret_FRANCE,mportretx_FRANCE,fic_UNITED KINGDOM,currency_UNITED KINGDOM,mportret_UNITED KINGDOM,mportretx_UNITED KINGDOM,fic_JAPAN,currency_JAPAN,mportret_JAPAN,mportretx_JAPAN,rm_US,rf_US
AUS,2002-01-31,AUD,0.0273578567123433,0.0273132504327746,CHE,CHF,-0.022126282958603,-0.0221460495397822,DEU,EUR,0.0122772448974048,0.0114909315941775,FRA,EUR,-0.0271048470538515,-0.0273056737297807,GBR,GBP,-0.0108660983464209,-0.0117199174085361,JPN,JPY,-0.0566551493852198,-0.0567096311132649,-0.015966,0.0014079106687149168
AUS,2002-02-28,AUD,-0.0018319390110898,-0.0043578687246637,CHE,CHF,0.0116607106801984,0.0116456860659561,DEU,EUR,-0.0088072174941973,-0.0088160069403171,FRA,EUR,-0.0043939683103316,-0.0044474920822872,GBR,GBP,-0.0033406566422105,-0.0070717254846763,JPN,JPY,0.0422556652611594,0.041997671833809,-0.0217,0.0014438781990535835
AUS,2002-03-28,AUD,0.0051988096598551,-0.0019141564953178,CHE,CHF,0.0487594285752155,0.0455697799877581,DEU,EUR,0.0493281249743591,0.0484695259424263,FRA,EUR,0.0520810150414652,0.0519427041577014,GBR,GBP,0.0389300664240621,0.0336609706282295,JPN,JPY,0.0531190903485789,0.0482940937342974,0.044698,0.0014248363799142503
AUS,2002-04-30,AUD,-0.0143019767040389,-0.0154244721555412,CHE,CHF,-0.0041086008860554,-0.0079612276060265,DEU,EUR,-0.0450305092727989,-0.0470927763169241,FRA,EUR,-0.0439877141991816,-0.0457546292187748,GBR,GBP,-0.0133618831903719,-0.015411030865544,JPN,JPY,0.0205859786987638,0.0205737687094975,-0.0496,0.0014606291474173333
AUS,2002-05-31,AUD,-0.0002037861063343,-0.0017515747682255,CHE,CHF,0.002962876773781,-0.0006387404709223,DEU,EUR,-0.0257027572508258,-0.0330684684307178,FRA,EUR,-0.0280161336111519,-0.035486643213485,GBR,GBP,-0.0114824630570923,-0.0139372028172346,JPN,JPY,0.0359872785166486,0.0359202083940817,-0.01051,0.0014079106687149168
AUS,2002-06-28,AUD,-0.0267563287945618,-0.031932876447877,CHE,CHF,-0.0816869727966006,-0.0820697235002388,DEU,EUR,-0.0686820643034027,-0.0724630385170843,FRA,EUR,-0.0808061469876163,-0.0866726983841905,GBR,GBP,-0.0825249645920961,-0.084101906879394,JPN,JPY,-0.083764442040082,-0.0839605094130928,-0.070259,0.0013888379127945
AUS,2002-07-31,AUD,-0.0378156425170485,-0.0419479129724681,CHE,CHF,-0.132371446432722,-0.1353353346009413,DEU,EUR,-0.1088935054266933,-0.1129515404641794,FRA,EUR,-0.1040689705811716,-0.1052579612278063,GBR,GBP,-0.0895299311778891,-0.0913919419888487,JPN,JPY,-0.0577201211193979,-0.0579604325267094,-0.081125,0.001416406479270333
AUS,2002-08-30,AUD,0.0162078657910129,0.012460989048832,CHE,CHF,0.0050825331960735,0.0010024834145279,DEU,EUR,-0.0028961275210293,-0.0033875428870338,FRA,EUR,-0.0046208046848709,-0.0046292022986141,GBR,GBP,0.0028739715074859,-0.0029162808957975,JPN,JPY,-0.0244109544124826,-0.0245912721282992,0.007949,0.0013803757517530833
AUS,2002-09-30,AUD,-0.039544643831669,-0.0469222497019461,CHE,CHF,-0.0894634215447588,-0.0898111713213033,DEU,EUR,-0.2049060347087815,-0.205151894832621,FRA,EUR,-0.1486060307348732,-0.148650900527505,GBR,GBP,-0.1144181698518124,-0.1163804121239758,JPN,JPY,-0.0212002672687715,-0.0247365612792159,-0.099923,0.0013083661510795833
AUS,2002-10-31,AUD,0.0121258457931743,0.0093939528563988,CHE,CHF,0.0303849245164011,0.0303685852212842,DEU,EUR,0.1037245988851792,0.1037245988851794,FRA,EUR,0.110464698817814,0.1102100773391177,GBR,GBP,0.0745089329312507,0.0729015466070535,JPN,JPY,-0.0611858627969202,-0.0611982126937863,0.07494,0.00118367611059
AUS,2002-11-29,AUD,-0.0055211553325011,-0.0107485858223136,CHE,CHF,0.0379362198112114,0.0379362198112109,DEU,EUR,0.0276620489793661,0.02760071195735,FRA,EUR,0.0461912297247455,0.0461705175518609,GBR,GBP,0.0320427904130449,0.0294417024593858,JPN,JPY,0.0339108776294678,0.033831690553832,0.061282,0.0010144638603899166
AUS,2002-12-31,AUD,-0.0099403898891259,-0.0186958103009329,CHE,CHF,-0.0858467472739915,-0.0858930198599742,DEU,EUR,-0.0960670125444518,-0.0961180041729966,FRA,EUR,-0.0645350633437458,-0.0649802829644661,GBR,GBP,-0.0509854378739671,-0.052256132016291,JPN,JPY,-0.0532150366891683,-0.053596525018288,-0.053334,0.0009467381762035001
AUS,2003-01-31,AUD,-0.0139794332754886,-0.0141019812587086,CHE,CHF,-0.0501240406141364,-0.050124040614137,DEU,EUR,-0.0333683941450326,-0.034838000219488,FRA,EUR,-0.0408720251585658,-0.0409480100941194,GBR,GBP,-0.088495499270603,-0.0892524404313944,JPN,JPY,-0.0257961521996423,-0.025866205502676,-0.023367,0.0009552551958717499
