fic,date,country,currency,mportret,mportretx
AUS,1991-12-31,AUSTRALIA,AUD,0.0205708370846529,0.01942163901931093
AUS,1992-01-31,AUSTRALIA,AUD,-0.01797543615442532,-0.01828995586476445
AUS,1992-02-28,AUSTRALIA,AUD,-0.01034547603494895,-0.01137441633167879
AUS,1992-03-31,AUSTRALIA,AUD,-0.01740355294496299,-0.02024474585107205
AUS,1992-04-30,AUSTRALIA,AUD,0.04338487064808039,0.03749301359948864
AUS,1992-05-29,AUSTRALIA,AUD,0.02238647440065433,0.01799846658421411
AUS,1992-06-30,AUSTRALIA,AUD,-0.01900676913343669,-0.02233304934143254
AUS,1992-07-31,AUSTRALIA,AUD,-0.02226529565184376,-0.02322409131626557
AUS,1992-08-31,AUSTRALIA,AUD,-0.05024639800832365,-0.05056872981970184
AUS,1992-09-30,AUSTRALIA,AUD,-0.02128381320190509,-0.0240872334867519
AUS,1992-10-30,AUSTRALIA,AUD,-0.04151256101111123,-0.04994766585588573
AUS,1992-11-30,AUSTRALIA,AUD,0.01016122431906763,0.008002977580821913
AUS,1992-12-31,AUSTRALIA,AUD,0.08673827797556832,0.08203170858310171
AUS,1993-01-29,AUSTRALIA,AUD,-0.01398172572205281,-0.01439121048942793
AUS,1993-02-26,AUSTRALIA,AUD,0.06105056645721496,0.06021139489140892
AUS,1993-03-31,AUSTRALIA,AUD,0.02771086446510607,0.02271266402210315
AUS,1993-04-30,AUSTRALIA,AUD,0.006552322008960054,0.003693332543151184
AUS,1993-05-31,AUSTRALIA,AUD,0.03274067135054914,0.02935720353701576
AUS,1993-06-30,AUSTRALIA,AUD,0.005304921202132551,0.001044960870353995
AUS,1993-07-30,AUSTRALIA,AUD,0.05230086621471153,0.05156439856976314
AUS,1993-08-31,AUSTRALIA,AUD,0.05574498513650794,0.0552199115152141
AUS,1993-09-30,AUSTRALIA,AUD,-0.006430778563115802,-0.009168728700382656
AUS,1993-10-29,AUSTRALIA,AUD,0.08803840324493684,0.08134484153956656
AUS,1993-11-30,AUSTRALIA,AUD,-0.03896405797816915,-0.04040294410660494
AUS,1993-12-31,AUSTRALIA,AUD,0.08902100293045123,0.08505024630804425
AUS,1994-01-31,AUSTRALIA,AUD,0.05608277559880537,0.05586262075787163
AUS,1994-02-28,AUSTRALIA,AUD,-0.05918629112958185,-0.05975006991999188
AUS,1994-03-31,AUSTRALIA,AUD,-0.04775408974454465,-0.05320297337903801
AUS,1994-04-29,AUSTRALIA,AUD,0.003282676557860409,0.002108301380061572
AUS,1994-05-31,AUSTRALIA,AUD,0.005147553276589001,0.0005669501547629352
AUS,1994-06-30,AUSTRALIA,AUD,-0.03679784439147693,-0.04170898688482549
AUS,1994-07-29,AUSTRALIA,AUD,0.03518546119073718,0.03425493963080406
AUS,1994-08-31,AUSTRALIA,AUD,0.0194998964284554,0.01840946678946676
