date,rf
2017-07-31,0.0008114465552501583
2017-08-31,0.0009256664231051666
2017-09-29,0.0007987940148765
2017-10-31,0.0008368035622846666
2017-11-30,0.0009192950928711667
2017-12-29,0.0010313813414599999
2018-01-31,0.00112658987768125
2018-02-28,0.0009928958374130835
2018-03-29,0.00135713551291475
2018-04-30,0.0013739360395475001
2018-05-31,0.0014650362652285833
2018-06-29,0.0014819269675485833
2018-07-31,0.0015960182626580002
2018-08-31,0.0016363915419505002
2018-09-28,0.0017379718251319168
2018-10-31,0.0018142728929399165
2018-11-30,0.0018818387179451667
2018-12-31,0.0018817222214288333
2019-01-31,0.00196227247527075
2019-02-28,0.00202154394609725
2019-03-29,0.0020172432007860832
2019-04-30,0.0020086434690135004
2019-05-31,0.0019579758793995
2019-06-28,0.001693434687727
2019-07-31,0.0018776635503075833
2019-08-30,0.0017378724627450835
2019-09-30,0.0015008579504104998
2019-10-31,0.0012640028773355
2019-11-29,0.0013591599330884166
2019-12-31,0.0011793314526302502
2020-01-31,0.00129993362933975
2020-02-28,0.0012047562290165
2020-03-31,3.37963526234375e-06
2020-04-30,6.125782260608333e-05
2020-05-29,0.00010561929377322499
2020-06-30,9.716900794120834e-05
2020-07-31,7.604470849571668e-05
2020-08-31,7.604461343350251e-05
2020-09-30,7.18200124438275e-05
2020-10-30,6.337016791798583e-05
2020-11-30,5.9145301110025e-05
2020-12-31,4.2246338522921665e-05
2021-01-29,4.43586739325525e-05
2021-02-26,2.534756019133e-05
2021-03-31,1.26737008835075e-05
2021-04-30,4.224546424870749e-06
2021-05-28,4.224546424870749e-06
2021-06-30,2.957224802543833e-05
2021-07-30,4.647104337551417e-05
2021-08-31,3.379685958032667e-05
2021-09-30,3.802159377018e-05
2021-10-29,4.2246309184121666e-05
2021-11-30,6.759484577918501e-05
2021-12-31,4.2246309184121666e-05
2022-01-31,2.957220489815417e-05
2022-02-28,5.9145301110025e-05
2022-03-31,3.379691591032333e-05
2022-04-29,0.0002915377602970917
2022-05-31,0.0005746998840538417
2022-06-30,0.0009340958457161667
2022-07-29,0.0018055911626338335
2022-08-31,0.0019623358190475836
2022-09-30,0.00227128787184275
2022-10-31,0.002881135654291083
2022-11-30,0.0033203032800051668
2022-12-30,0.0033262994360549166
2023-01-31,0.003737145217115583
2023-02-28,0.003682024931744917
2023-03-31,0.0038881788842497506
2023-04-28,0.0034746881452196667
2023-05-31,0.004128715554031166
2023-06-30,0.004301849576203167
2023-07-31,0.004441577172609583
2023-08-31,0.004463451834298833
2023-09-29,0.004471612723112499
2023-10-31,0.004475197655959584
2023-11-30,0.004454961785125084
2023-12-29,0.004484346181478084
2024-01-31,0.004425569685233417
2024-02-29,0.004488922451048167
2024-03-28,0.0044719419616765
2024-04-30,0.004466711241662584
2024-05-31,0.0044652460578970005
2024-06-28,0.004467368274897333
2024-07-31,0.0044637798872725004
2024-08-30,0.004380361263018917
2024-09-30,0.0038262963416366663
2024-10-31,0.0037519827902054996
2024-11-29,0.003474952986778501
2024-12-31,0.0033372916186482503
